Name,CPRD: Difficulty,CPRD: Est (min),CPRD: Priority,CPRD: Schema Version,CPRD: Unit Type,Category,Companies,Completed,Difficulty,Interview Frequency,Interview Signal,LeetCode Link,Notes,Pattern Notes,Pattern Role,Primary Pattern,Priority,Purpose,Role,Secondary Pattern,Source,Status,Sub-Pattern,TUF Link,Thinking Level
Regular Expression Matching,,,,,,Dynamic Programming,"Amazon, Google, Meta",No,Hard,High,Pattern matching DP,https://leetcode.com/problems/regular-expression-matching/,,2D DP: dp[i][j] = can s[0..i] match p[0..j]. Handle * and .,Core,String DP,P1 - High,Synthesis,Synthesis,Pattern match,Gap Filler,,DP,,L6
Wildcard Matching,,,,,,Dynamic Programming,"Amazon, Google, Meta",No,Hard,Medium,Simpler regex variant,https://leetcode.com/problems/wildcard-matching/,,Similar to regex but simpler. Handle ? and *.,Core,String DP,P1 - High,Synthesis,Synthesis,Wildcard,Gap Filler,,DP,,L6
Maximum XOR of Two Numbers in an Array,,,,,,Trie,"Amazon, Google",No,Medium,Medium,Non-obvious trie application,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,,Bitwise Trie + greedy traversal. XOR maximization trick.,Core,Bitwise Trie,P1 - High,Synthesis,Synthesis,Greedy bit choice,Gap Filler,,Trie,,L6
Longest Consecutive Sequence,,,,,,Disjoint Set Union,"Amazon, Google, Meta",No,Medium,High,DSU or hash set,https://leetcode.com/problems/longest-consecutive-sequence/,,"Hash set: find sequence starts, expand. Or DSU approach.",Core,Union Find,P1 - High,Synthesis,Synthesis,Sequence,Gap Filler,,DSU,,L5
Range Sum Query - Mutable,,,,,,Binary Index Tree,"Amazon, Google",No,Medium,Medium,Dynamic range query,https://leetcode.com/problems/range-sum-query-mutable/,,BIT or Segment Tree for point updates + range queries.,Core,BIT,P1 - High,Synthesis,Synthesis,Point update,Gap Filler,,BIT,,L5
Design HashMap,,,,,,Design,"Amazon, Google, Meta",No,Easy,Medium,Basic design,https://leetcode.com/problems/design-hashmap/,,Implement hash map with chaining or open addressing.,Core,Design,P1 - High,Core,Core,Basics,Gap Filler,,Design,,L4
LRU Cache,,,,,,Design,"Amazon, Google, Meta",No,Medium,High,Design under O(1) constraints,https://leetcode.com/problems/lru-cache/,,HashMap + Doubly Linked List. O(1) get/put. Most asked design problem!,Core,Design,P0 - Must Do,Synthesis,Synthesis,HashMap + DLL,Gap Filler,,Design,,L6
Merge Sort,,,,,,Sorting,"Amazon, Google, Meta",No,Medium,Medium,Divide & conquer sorting,https://leetcode.com/problems/sort-an-array/,,"Classic divide & conquer. Split array, sort halves, merge. O(n log n) stable sort.",Core,Sorting,P1 - High,Core,Core,Divide & Conquer,Gap Filler,,Sorting,,L4
Quick Sort,,,,,,Sorting,"Amazon, Google, Meta",No,Medium,Medium,Partition-based sorting,https://leetcode.com/problems/sort-an-array/,,"Partition around pivot, recursive sort. O(n log n) avg, O(n²) worst. Unstable.",Core,Sorting,P1 - High,Core,Core,Partition,Gap Filler,,Sorting,,L4
Heap Sort,,,,,,Sorting,"Amazon, Google",No,Medium,Low,Heap-based sorting,https://leetcode.com/problems/sort-an-array/,,"Build max heap, extract max repeatedly. O(n log n) in-place unstable sort.",Core,Sorting,P2 - Medium,Reinforcement,Reinforcement,Heap,Gap Filler,,Sorting,,L4
Counting Sort,,,,,,Sorting,"Amazon, Google",No,Easy,Low,Linear time sorting,https://leetcode.com/problems/sort-an-array/,,"Count frequencies, rebuild array. O(n+k) for range [0,k]. Stable.",Core,Sorting,P2 - Medium,Reinforcement,Reinforcement,Counting,Gap Filler,,Sorting,,L3
Radix Sort,,,,,,Sorting,Google,No,Medium,Low,Digit-based sorting,https://leetcode.com/problems/sort-an-array/,,Sort by digits from least to most significant. O(d*(n+k)) for d digits.,Core,Sorting,P2 - Medium,Reinforcement,Reinforcement,Digit sorting,Gap Filler,,Sorting,,L4
Find Greatest Common Divisor of Array,,,,,,Math,"Amazon, Google",No,Easy,Medium,GCD computation,https://leetcode.com/problems/find-greatest-common-divisor-of-array/,,"Euclidean algorithm: gcd(a,b) = gcd(b, a%b). Apply to array min/max.",Core,Math,P1 - High,Core,Core,Euclidean,Gap Filler,,Number Theory,,L3
Nth Magical Number,,,,,,Math,"Amazon, Google",No,Hard,Low,LCM + binary search,https://leetcode.com/problems/nth-magical-number/,,LCM of a and b. Binary search on answer. Count magical numbers <= mid.,Core,Math,P1 - High,Synthesis,Synthesis,LCM + BS,Gap Filler,,Number Theory,,L5
Fast Modulo Power (Exponentiation),,,,,,Math,Google,No,Medium,Low,Binary exponentiation,https://leetcode.com/problems/powx-n/,,Compute a^b mod m using binary exponentiation. O(log b) time.,Core,Math,P1 - High,Core,Core,Binary exp,Gap Filler,,Number Theory,,L4
Greatest Common Divisor Traversal,,,,,,Math,Google,No,Hard,Low,GCD + graph connectivity,https://leetcode.com/problems/greatest-common-divisor-traversal/,,Build graph where edges exist if gcd > 1. Check connectivity via DSU/BFS.,Core,Math,P2 - Medium,Synthesis,Synthesis,GCD + Graph,Gap Filler,,Number Theory,,L5
Tower of Hanoi,,,,,,Recursion,"Amazon, Google",No,Medium,Low,Classic recursion,https://www.geeksforgeeks.org/c-program-for-tower-of-hanoi/,,"Move n disks: move n-1 to aux, move largest to dest, move n-1 to dest. Classic recursion.",Core,Recursion,P1 - High,Core,Core,Classic,Gap Filler,,Recursion,,L4
Factorial of a Number,,,,,,Recursion,"Amazon, Google",No,Easy,Low,Basic recursion,https://leetcode.com/problems/factorial-trailing-zeroes/,,n! = n * (n-1)!. Base case: 0! = 1. Classic recursive definition.,Core,Recursion,P1 - High,Core,Core,Basic,Gap Filler,,Recursion,,L2
Fibonacci Number,,,,,,Recursion,"Amazon, Google",No,Easy,Low,Recursive sequence,https://leetcode.com/problems/fibonacci-number/,,"F(n) = F(n-1) + F(n-2). Base: F(0)=0, F(1)=1. Classic recursion with memoization.",Core,Recursion,P1 - High,Core,Core,Sequence,Gap Filler,,Recursion,,L2
Reverse a String using Recursion,,,,,,Recursion,"Amazon, Google",No,Easy,Low,String recursion,https://leetcode.com/problems/reverse-string/,,Reverse(s) = last char + Reverse(s[1:-1]). Base: empty or single char.,Core,Recursion,P1 - High,Core,Core,String,Gap Filler,,Recursion,,L3
Check Palindrome using Recursion,,,,,,Recursion,"Amazon, Google",No,Easy,Low,Recursive palindrome,https://leetcode.com/problems/valid-palindrome/,,"Check first == last, recurse on middle. Base: empty or single char.",Core,Recursion,P1 - High,Core,Core,Palindrome,Gap Filler,,Recursion,,L3
Rectangle Overlap,,,,,,Geometry,"Amazon, Google",No,Easy,Medium,Rectangle intersection,https://leetcode.com/problems/rectangle-overlap/,,Two rectangles overlap if not separated. Check x and y projections.,Core,Geometry,P1 - High,Core,Core,Overlap,Gap Filler,,Geometry,,L3
Largest Triangle Area,,,,,,Geometry,Google,No,Easy,Low,Triangle area calculation,https://leetcode.com/problems/largest-triangle-area/,,Shoelace formula: area = 0.5 * |x1(y2-y3) + x2(y3-y1) + x3(y1-y2)|. Try all triplets.,Core,Geometry,P2 - Medium,Reinforcement,Reinforcement,Shoelace,Gap Filler,,Geometry,,L3
Valid Square,,,,,,Geometry,Google,No,Medium,Low,Square validation,https://leetcode.com/problems/valid-square/,,Check 4 equal sides and 2 equal diagonals. Use distance formula.,Core,Geometry,P2 - Medium,Reinforcement,Reinforcement,Distance,Gap Filler,,Geometry,,L3
Max Points on a Line,,,,,,Geometry,Google,No,Hard,Medium,Slope calculation,https://leetcode.com/problems/max-points-on-a-line/,,"For each point, count points with same slope. Use gcd to normalize slope. Handle vertical lines.",Core,Geometry,P1 - High,Synthesis,Synthesis,Slope,Gap Filler,,Geometry,,L5
LFU Cache,,,,,,Design,"Amazon, Google, Meta, Microsoft",No,Hard,High,Multi-invariant design,https://leetcode.com/problems/lfu-cache/,,HashMap + DLL buckets by frequency. Track minFreq. O(1) get/put. Advanced design.,Core,Design,P0 - Must Do,Synthesis,Synthesis,Frequency buckets,Gap Filler,,Design,,L6
Design Twitter,,,,,,Design,"Amazon, Meta",No,Medium,High,System design pattern,https://leetcode.com/problems/design-twitter/,,HashMap + Heap for feeds. Merge k recent tweets. System design flavor.,Core,Design,P1 - High,Synthesis,Synthesis,Heap + HashMap,Gap Filler,,Design,,L5
Design Search Autocomplete System,,,,,,Design,"Amazon, Google, Meta",No,Hard,Medium,Trie + design,https://leetcode.com/problems/design-search-autocomplete-system/,,Trie + frequency tracking + heap for top K. System design pattern.,Core,Design,P1 - High,Synthesis,Synthesis,Trie + Heap,Gap Filler,,Design,,L6
Binary Search on Floating Point,,,,,,Binary Search,Google,No,Hard,Low,Precision BS,https://leetcode.com/problems/minimize-max-distance-to-gas-station/,,BS on real numbers with precision. Check feasibility with epsilon tolerance.,Core,Binary Search on Answer,P1 - High,Synthesis,Synthesis,Precision,Gap Filler,,Binary Search,,L5
Flatten a Multilevel Doubly Linked List,,,,,,Linked List,"Amazon, Meta",No,Medium,Medium,Multilevel structure,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/,,"DFS traversal, connect prev/next. Handle child pointers recursively.",Core,Linked List,P1 - High,Synthesis,Synthesis,DFS,Gap Filler,,Linked List,,L5
K Closest Points to Origin,,,,,,Heaps,"Amazon, Google, Meta, Microsoft",No,Medium,High,Distance-based selection,https://leetcode.com/problems/k-closest-points-to-origin/,,Max heap of size k. Or QuickSelect. Use squared distance to avoid sqrt.,Core,Heap,P1 - High,Core,Core,Distance,Gap Filler,,Heap,,L4
Task Scheduler,,,,,,Heaps,"Amazon, Meta",No,Medium,High,Scheduling with constraints,https://leetcode.com/problems/task-scheduler/,,Max heap + cooldown queue. Or math formula: (max_count-1)*n + count(max_count).,Core,Heap,P1 - High,Synthesis,Synthesis,Cooldown,Gap Filler,,Heap,,L5
House Robber III,,,,,,Dynamic Programming,"Amazon, Google",No,Medium,High,Tree DP explicit,https://leetcode.com/problems/house-robber-iii/,,"DP on trees. Each node returns [include, exclude] states. Postorder traversal.",Core,Tree DP,P1 - High,Synthesis,Synthesis,Include/exclude,Gap Filler,,DP,,L5
Partition Array for Maximum Sum,,,,,,Dynamic Programming,"Amazon, Google",No,Medium,Medium,Partition DP,https://leetcode.com/problems/partition-array-for-maximum-sum/,,dp[i] = max sum partitioning arr[0..i]. Try all partition points.,Core,Partition DP,P1 - High,Synthesis,Synthesis,Partition,Gap Filler,,DP,,L5
0-1 BFS,,,,,,Graphs,"Amazon, Google",No,Hard,Low,Special case optimization,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid/,,BFS with deque for 0/1 edge weights. O(V+E) instead of O(E log V).,Core,BFS,P1 - High,Synthesis,Synthesis,Deque BFS,Gap Filler,,Graph,,L5
Reconstruct Itinerary,,,,,,Graphs,"Amazon, Google",No,Hard,Medium,Eulerian path,https://leetcode.com/problems/reconstruct-itinerary/,,Hierholzer's algorithm. Eulerian path in directed graph. DFS with backtracking.,Core,Graph,P1 - High,Synthesis,Synthesis,Eulerian,Gap Filler,,Graph,,L6
Bellman Ford Algorithm,,,,,,Graphs,Amazon,No,Medium,Low,Negative weight edges,https://leetcode.com/problems/network-delay-time/,,Relax edges V-1 times. Detects negative cycles. Handles negative weights.,Core,Shortest Path,P1 - High,Synthesis,Synthesis,Negative weights,Gap Filler,,Graph,,L5
Strongly Connected Components,,,,,,Graphs,Google,No,Hard,Low,SCC algorithm,https://leetcode.com/problems/critical-connections-in-a-network/,,Tarjan's or Kosaraju's algorithm. Find all SCCs in directed graph.,Core,Graph,P2 - Medium,Synthesis,Synthesis,SCC,Gap Filler,,Graph,,L6
Move Zeroes,,,,,,Two Pointers,"Amazon, Google, Meta",No,Easy,High,In-place array manipulation,https://leetcode.com/problems/move-zeroes/,,Two pointers: slow (non-zero) and fast. Move non-zeros to front.,Core,Two Pointers,P1 - High,Core,Core,In-place,Striver A2Z,,Two Pointers,,L3
Squares of a Sorted Array,,,,,,Two Pointers,"Amazon, Google",No,Easy,Medium,Two pointers from ends,https://leetcode.com/problems/squares-of-a-sorted-array/,,"Two pointers from both ends, compare squares, fill from right.",Core,Two Pointers,P1 - High,Core,Core,Ends to center,Striver A2Z,,Two Pointers,,L3
Remove Element,,,,,,Two Pointers,"Amazon, Google, Meta",No,Easy,Medium,In-place removal,https://leetcode.com/problems/remove-element/,,Two pointers: slow (write) and fast (read). Skip target element.,Core,Two Pointers,P1 - High,Core,Core,In-place,Striver A2Z,,Two Pointers,,L3
Sort Colors,,,,,,Two Pointers,"Amazon, Meta, Microsoft",No,Medium,High,Dutch National Flag,https://leetcode.com/problems/sort-colors/,,"Three-way partitioning. low, mid, high pointers pattern.",Core,Dutch National Flag,P0 - Must Do,Core,Core,Invariants,Striver A2Z,,Two Pointers,,L4
Merge Sorted Array,,,,,,Two Pointers,"Amazon, Google, Meta",No,Easy,Medium,Merge from end,https://leetcode.com/problems/merge-sorted-array/,,Two pointers from end. Fill from right to avoid overwriting.,Core,Two Pointers,P1 - High,Core,Core,Merge from end,Striver A2Z,,Two Pointers,,L3
Search Insert Position,,,,,,Binary Search,"Amazon, Google, Meta",No,Easy,Medium,BS boundary,https://leetcode.com/problems/search-insert-position/,,Binary search. Return left if not found. Classic boundary case.,Core,Binary Search,P1 - High,Core,Core,Boundary,Striver A2Z,,Binary Search,,L3
Sqrt(x),,,,,,Binary Search,"Amazon, Google, Meta",No,Easy,Medium,BS on answer,https://leetcode.com/problems/sqrtx/,,Binary search on answer. Find largest integer whose square <= x.,Core,Binary Search on Answer,P1 - High,Core,Core,Integer BS,Striver A2Z,,Binary Search,,L3
Valid Perfect Square,,,,,,Binary Search,"Amazon, Google",No,Easy,Low,BS application,https://leetcode.com/problems/valid-perfect-square/,,Binary search to check if number is perfect square.,Core,Binary Search,P1 - High,Reinforcement,Reinforcement,Perfect square,Striver A2Z,,Binary Search,,L3
Find Smallest Letter Greater Than Target,,,,,,Binary Search,"Amazon, Google",No,Easy,Low,BS with wrap,https://leetcode.com/problems/find-smallest-letter-greater-than-target/,,Binary search with circular wrap. Find next greater letter.,Core,Binary Search,P1 - High,Reinforcement,Reinforcement,Circular BS,Striver A2Z,,Binary Search,,L3
Single Element in a Sorted Array,,,,,,Binary Search,"Amazon, Google",No,Medium,Medium,BS on pattern,https://leetcode.com/problems/single-element-in-a-sorted-array/,,BS: check if mid is in left/right pair. Pattern-based BS.,Core,Binary Search,P1 - High,Core,Core,Pattern BS,Striver A2Z,,Binary Search,,L4
Peak Index in a Mountain Array,,,,,,Binary Search,"Amazon, Google",No,Easy,Low,Simple peak,https://leetcode.com/problems/peak-index-in-a-mountain-array/,,Simpler version of Find Peak Element. Good BS warm-up.,Core,Binary Search,P1 - High,Reinforcement,Reinforcement,Peak,Striver A2Z,,Binary Search,,L3
Add Two Numbers II,,,,,,Linked List,"Amazon, Google, Meta",No,Medium,Medium,Reverse + add,https://leetcode.com/problems/add-two-numbers-ii/,,"Reverse both lists, add, reverse result. Or use stack.",Core,Linked List,P1 - High,Reinforcement,Reinforcement,Reverse add,Striver A2Z,,Linked List,,L4
Remove Duplicates from Sorted List,,,,,,Linked List,"Amazon, Google",No,Easy,Medium,LL dedup,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,,Traverse and skip duplicates. Simple pointer manipulation.,Core,Linked List,P1 - High,Core,Core,Dedup,Striver A2Z,,Linked List,,L3
Remove Linked List Elements,,,,,,Linked List,"Amazon, Google",No,Easy,Medium,LL removal,https://leetcode.com/problems/remove-linked-list-elements/,,Remove all nodes with given value. Handle head removal.,Core,Linked List,P1 - High,Core,Core,Removal,Striver A2Z,,Linked List,,L3
Odd Even Linked List,,,,,,Linked List,"Amazon, Google, Meta",No,Medium,Medium,LL grouping,https://leetcode.com/problems/odd-even-linked-list/,,Group odd and even nodes. Two pointers approach.,Core,Linked List,P1 - High,Reinforcement,Reinforcement,Grouping,Striver A2Z,,Linked List,,L4
Middle of the Linked List,,,,,,Linked List,"Amazon, Google, Meta",No,Easy,Medium,Fast/slow pointers,https://leetcode.com/problems/middle-of-the-linked-list/,,"Fast/slow pointers. Fast moves 2x, slow moves 1x.",Core,Two Pointers,P1 - High,Core,Core,Fast/slow,Striver A2Z,,Linked List,,L3
Rotate List,,,,,,Linked List,"Amazon, Google, Meta",No,Medium,Medium,LL rotation,https://leetcode.com/problems/rotate-list/,,"Find length, connect tail to head, break at (length-k).",Core,Linked List,P1 - High,Reinforcement,Reinforcement,Rotation,Striver A2Z,,Linked List,,L4
Next Greater Element II,,,,,,Stack,"Amazon, Google",No,Medium,High,Circular NGE,https://leetcode.com/problems/next-greater-element-ii/,,Circular array with monotonic stack. Process array twice.,Core,Monotonic Stack,P1 - High,Core,Core,Circular trick,Striver A2Z,,Stack,,L5
Online Stock Span,,,,,,Stack,"Amazon, Google, Meta",No,Medium,Medium,Span calculation,https://leetcode.com/problems/online-stock-span/,,Monotonic stack. Count consecutive days with price <= today.,Core,Monotonic Stack,P1 - High,Core,Core,Span,Striver A2Z,,Stack,,L4
Asteroid Collision,,,,,,Stack,"Amazon, Google, Meta",No,Medium,Medium,Stack simulation,https://leetcode.com/problems/asteroid-collision/,,Stack to simulate collisions. Handle positive/negative asteroids.,Core,Stack,P1 - High,Reinforcement,Reinforcement,Simulation,Striver A2Z,,Stack,,L4
Remove K Digits,,,,,,Stack,"Amazon, Google, Meta",No,Medium,Medium,Greedy stack,https://leetcode.com/problems/remove-k-digits/,,Monotonic stack. Remove larger digits greedily.,Core,Monotonic Stack,P1 - High,Synthesis,Synthesis,Greedy,Striver A2Z,,Stack,,L5
Longest Valid Parentheses,,,,,,Stack,"Amazon, Google, Meta",No,Hard,High,Stack + DP,https://leetcode.com/problems/longest-valid-parentheses/,,Stack with indices or DP. Track longest valid substring.,Core,Stack,P1 - High,Synthesis,Synthesis,DP variant,Striver A2Z,,Stack,,L6
Last Stone Weight,,,,,,Heaps,"Amazon, Google",No,Easy,Medium,Heap simulation,https://leetcode.com/problems/last-stone-weight/,,"Max heap. Pop two largest, smash, push difference.",Core,Heap,P1 - High,Core,Core,Simulation,Striver A2Z,,Heap,,L3
Seat Reservation Manager,,,,,,Heaps,"Amazon, Google",No,Medium,Low,Heap design,https://leetcode.com/problems/seat-reservation-manager/,,Min heap for available seats. Design problem.,Core,Heap,P1 - High,Reinforcement,Reinforcement,Design,Striver A2Z,,Heap,,L4
Furthest Building You Can Reach,,,,,,Heaps,"Amazon, Google",No,Medium,Medium,Greedy heap,https://leetcode.com/problems/furthest-building-you-can-reach/,,Min heap for ladder usage. Greedy: use ladder for largest gaps.,Core,Heap,P1 - High,Synthesis,Synthesis,Greedy,Striver A2Z,,Heap,,L5
Binary Tree Preorder Traversal,,,,,,Binary Trees,"Amazon, Google, Meta",No,Easy,Medium,Preorder traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,,"Root, left, right. Iterative with stack or recursive.",Core,Tree DFS,P1 - High,Core,Core,Preorder,Striver A2Z,,Binary Tree,,L3
Binary Tree Inorder Traversal,,,,,,Binary Trees,"Amazon, Google, Meta",No,Easy,High,Inorder traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/,,"Left, root, right. Iterative with stack or recursive.",Core,Tree DFS,P1 - High,Core,Core,Inorder,Striver A2Z,,Binary Tree,,L3
Binary Tree Postorder Traversal,,,,,,Binary Trees,"Amazon, Google, Meta",No,Easy,Medium,Postorder traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/,,"Left, right, root. Iterative with stack or recursive.",Core,Tree DFS,P1 - High,Core,Core,Postorder,Striver A2Z,,Binary Tree,,L3
Binary Tree Zigzag Level Order Traversal,,,,,,Binary Trees,"Amazon, Google, Meta",No,Medium,Medium,Zigzag BFS,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,,BFS with level tracking. Reverse direction every level.,Core,Tree BFS,P1 - High,Reinforcement,Reinforcement,Zigzag,Striver A2Z,,Binary Tree,,L4
Search in Binary Search Tree,,,,,,Binary Trees,"Amazon, Google, Meta",No,Easy,Medium,BST search,https://leetcode.com/problems/search-in-a-binary-search-tree/,,"BST property: go left if val < root, right if val > root.",Core,BST,P1 - High,Core,Core,BST property,Striver A2Z,,Binary Tree,,L3
Insert into BST,,,,,,Binary Trees,"Amazon, Google, Meta",No,Medium,Medium,BST insertion,https://leetcode.com/problems/insert-into-a-binary-search-tree/,,Find insertion point using BST property. Insert as leaf.,Core,BST,P1 - High,Core,Core,BST insertion,Striver A2Z,,Binary Tree,,L4
Delete a Node in BST,,,,,,Binary Trees,"Amazon, Google, Meta",No,Medium,Hard,BST deletion,https://leetcode.com/problems/delete-node-in-a-bst/,,"Three cases: no child, one child, two children. Replace with inorder successor.",Core,BST,P1 - High,Core,Core,BST deletion,Striver A2Z,,Binary Tree,,L5
Lowest Common Ancestor of a Binary Search Tree,,,,,,Binary Trees,"Amazon, Google, Meta",No,Easy,Medium,BST LCA,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,,Use BST property. LCA is first node where paths diverge.,Core,BST,P1 - High,Reinforcement,Reinforcement,BST LCA,Striver A2Z,,Binary Tree,,L4
Find if Path Exists in Graph,,,,,,Graphs,"Amazon, Google, Meta",No,Easy,Medium,Path existence,https://leetcode.com/problems/find-if-path-exists-in-graph/,,BFS/DFS to check if path exists from source to destination.,Core,Graph BFS/DFS,P1 - High,Core,Core,Path check,Striver A2Z,,Graph,,L3
Number of Provinces,,,,,,Graphs,"Amazon, Google, Meta",No,Medium,High,Connected components,https://leetcode.com/problems/number-of-provinces/,,DFS/BFS to count connected components. Or DSU.,Core,Graph BFS/DFS,P1 - High,Core,Core,Components,Striver A2Z,,Graph,,L4
All Paths from Source to Target,,,,,,Graphs,"Amazon, Google, Meta",No,Medium,Medium,All paths DFS,https://leetcode.com/problems/all-paths-from-source-to-target/,,DFS with backtracking. Find all paths from source to target.,Core,Graph DFS,P1 - High,Reinforcement,Reinforcement,Backtracking,Striver A2Z,,Graph,,L4
Keys and Rooms,,,,,,Graphs,"Amazon, Google, Meta",No,Medium,Medium,Reachability,https://leetcode.com/problems/keys-and-rooms/,,BFS/DFS from room 0. Check if all rooms reachable.,Core,Graph BFS/DFS,P1 - High,Reinforcement,Reinforcement,Reachability,Striver A2Z,,Graph,,L4
Min Cost Climbing Stairs,,,,,,Dynamic Programming,"Amazon, Google, Meta",No,Easy,Medium,DP variant,https://leetcode.com/problems/min-cost-climbing-stairs/,,"dp[i] = min(dp[i-1], dp[i-2]) + cost[i]. Start from index 0 or 1.",Core,DP,P1 - High,Core,Core,Min cost,Striver A2Z,,DP,,L3
Integer Break,,,,,,Dynamic Programming,"Amazon, Google",No,Medium,Low,DP optimization,https://leetcode.com/problems/integer-break/,,dp[i] = max product breaking i. Try all splits.,Core,DP,P1 - High,Reinforcement,Reinforcement,Optimization,Striver A2Z,,DP,,L4
Decode Ways,,,,,,Dynamic Programming,"Amazon, Google, Meta",No,Medium,High,String DP,https://leetcode.com/problems/decode-ways/,,dp[i] = ways to decode s[0..i]. Handle 1-digit and 2-digit cases.,Core,String DP,P1 - High,Core,Core,Decoding,Striver A2Z,,DP,,L5
Jump Game I,,,,,,Dynamic Programming,"Amazon, Google, Meta",No,Medium,High,DP/Greedy,https://leetcode.com/problems/jump-game/,,dp[i] = can reach i. Or greedy: track farthest reachable.,Core,DP,P1 - High,Core,Core,Reachability,Striver A2Z,,DP,,L4
Reverse Words in a String,,,,,,Strings,"Amazon, Google, Meta",No,Medium,Medium,String manipulation,https://leetcode.com/problems/reverse-words-in-a-string/,,"Reverse entire string, then reverse each word. Or split and reverse.",Core,String,P1 - High,Core,Core,Reverse,Striver A2Z,,String,,L4
String to Integer (atoi),,,,,,Strings,"Amazon, Google, Meta",No,Medium,Medium,String parsing,https://leetcode.com/problems/string-to-integer-atoi/,,"Parse integer with edge cases: whitespace, signs, overflow.",Core,String,P1 - High,Core,Core,Parsing,Striver A2Z,,String,,L4
Palindromic Substrings,,,,,,Strings,"Amazon, Google, Meta",No,Medium,Medium,Palindrome count,https://leetcode.com/problems/palindromic-substrings/,,Expand from center for each possible center. Count palindromes.,Core,String,P1 - High,Reinforcement,Reinforcement,Expand centers,Striver A2Z,,String,,L4
Combination Sum III,,,,,,Backtracking,"Amazon, Google",No,Medium,Medium,Constrained backtracking,https://leetcode.com/problems/combination-sum-iii/,,"Use digits 1-9, exactly k numbers, sum to n.",Core,Backtracking,P1 - High,Reinforcement,Reinforcement,Constraints,Striver A2Z,,Backtracking,,L4
Letter Case Permutation,,,,,,Backtracking,"Amazon, Google",No,Medium,Medium,Case permutation,https://leetcode.com/problems/letter-case-permutation/,,Backtracking: change case of letters. Generate all permutations.,Core,Backtracking,P1 - High,Reinforcement,Reinforcement,Case change,Striver A2Z,,Backtracking,,L4
Power of Two,,,,,,Bit Manipulation,"Amazon, Google, Meta",No,Easy,Medium,Bit check,https://leetcode.com/problems/power-of-two/,,n & (n-1) == 0 for power of 2. Or count bits.,Core,Bit Manipulation,P1 - High,Core,Core,Power check,Striver A2Z,,Bit Manipulation,,L3
Convert a Number to Hexadecimal,,,,,,Bit Manipulation,"Amazon, Google",No,Easy,Low,Base conversion,https://leetcode.com/problems/convert-a-number-to-hexadecimal/,,Convert to hex using bit manipulation. Handle negative numbers.,Core,Bit Manipulation,P1 - High,Reinforcement,Reinforcement,Base conversion,Striver A2Z,,Bit Manipulation,,L3
Happy Number,,,,,,Math,"Amazon, Google",No,Easy,Medium,Cycle detection,https://leetcode.com/problems/happy-number/,,Floyd's cycle detection on digit squares. Math + cycle.,Core,Math,P1 - High,Core,Core,Cycle,Striver A2Z,,Math,,L3
Bulb Switcher,,,,,,Math,"Amazon, Google",No,Medium,Low,Math pattern,https://leetcode.com/problems/bulb-switcher/,,Only perfect squares remain on. Answer is sqrt(n).,Core,Math,P1 - High,Reinforcement,Reinforcement,Pattern,Striver A2Z,,Math,,L4
Design Parking System,,,,,,Design,"Amazon, Google",No,Easy,Low,Simple design,https://leetcode.com/problems/design-parking-system/,,Track available spots for each car type. Simple counter design.,Core,Design,P1 - High,Core,Core,Counters,Striver A2Z,,Design,,L2
Design Circular Queue,,,,,,Design,"Amazon, Google",No,Medium,Medium,Queue implementation,https://leetcode.com/problems/design-circular-queue/,,Circular array implementation. Handle wrap-around.,Core,Design,P1 - High,Core,Core,Circular array,Striver A2Z,,Design,,L4
Design Browser History,,,,,,Design,"Amazon, Google, Meta",No,Medium,Medium,Stack/DLL design,https://leetcode.com/problems/design-browser-history/,,Two stacks or DLL for back/forward. Common system design pattern.,Core,Design,P1 - High,Core,Core,Stack/DLL,Striver A2Z,,Design,,L5
Design Underground System,,,,,,Design,"Amazon, Google, Meta",No,Medium,Medium,HashMap design,https://leetcode.com/problems/design-underground-system/,,Track check-ins and check-outs. Compute average time.,Core,Design,P1 - High,Reinforcement,Reinforcement,HashMap,Striver A2Z,,Design,,L4
